title,ingredients,steps,cuisine,diet,difficulty,image_url
Matar Paneer,"Green peas (matar), paneer cubes, onions, tomatoes, ginger paste, garlic paste, cumin seeds, garam masala, turmeric powder, red chili powder, oil, salt, coriander leaves","Prepare Masala: Heat oil in a pan. Add cumin seeds and let them splutter. Add finely chopped onions and sauté until golden. Add Ginger-Garlic: Add ginger and garlic paste; sauté until raw smell disappears. Add Tomatoes & Spices: Add chopped tomatoes, turmeric powder, red chili powder, and salt. Cook until oil separates. Add Peas: Add green peas and a little water. Cook until peas are tender. Add Paneer: Add paneer cubes and garam masala. Mix gently and cook for 5-7 minutes. Garnish & Serve: Garnish with chopped coriander leaves and serve hot with roti or rice",Indian,Veg,Easy,images/img11.jpg
Egg Curry,"Boiled eggs, onions, tomatoes, ginger paste, garlic paste, green chilies, turmeric powder, red chili powder, coriander powder, garam masala, oil, salt, fresh coriander leaves","Prepare Masala: Heat oil in a pan. Add finely chopped onions and sauté until golden brown. Add Ginger-Garlic and Chilies: Add ginger paste, garlic paste, and chopped green chilies. Cook until raw smell disappears. Add Tomatoes & Spices: Add chopped tomatoes, turmeric powder, red chili powder, coriander powder, and salt. Cook until oil separates. Add Water: Add some water to make a curry gravy and bring it to a boil. Add Eggs: Carefully add boiled eggs (whole or halved) to the gravy. Simmer for 5-10 minutes. Finish with Garam Masala: Sprinkle garam masala and mix gently. Garnish & Serve: Garnish with fresh coriander leaves and serve hot with rice or roti.",Indian,Non-Veg,Easy,images/img12.jpg
Fish Fry,"Fish fillets, turmeric powder, red chili powder, garam masala, lemon juice, ginger paste, garlic paste, salt, rice flour (or cornflour), oil","Marinate Fish: In a bowl, mix turmeric powder, red chili powder, garam masala, ginger-garlic paste, lemon juice, and salt. Coat the fish fillets thoroughly. Let marinate for 30 minutes. Coat Fish: Lightly dust the marinated fish with rice flour or cornflour for a crispy coating. Heat Oil: Heat oil in a frying pan over medium heat. Fry Fish: Fry the fish fillets until golden brown and cooked through, about 3-4 minutes on each side. Drain & Serve: Drain excess oil on paper towels and serve hot with lemon wedges and chutney.",Indian,Non-Veg,Medium,images/img13.jpg
Sambar,"Toor dal (pigeon peas), tamarind pulp, mixed vegetables (drumstick, carrot, pumpkin, eggplant), mustard seeds, dried red chilies, curry leaves, sambar powder, turmeric powder, asafoetida (hing), mustard seeds, oil, salt, coriander leaves","Cook Dal: Rinse toor dal and pressure cook with turmeric powder and water until soft and mushy. Prepare Tamarind Water: Soak tamarind in warm water and extract tamarind pulp. Cook Vegetables: In a pot, boil mixed vegetables with some salt until tender. Add Dal and Tamarind: Add cooked dal and tamarind pulp to the vegetables. Mix well and simmer. Add Sambar Powder: Add sambar powder and salt. Cook for 5-10 minutes on low heat. Prepare Tempering: Heat oil in a small pan. Add mustard seeds, dried red chilies, asafoetida, and curry leaves. When mustard seeds splutter, pour tempering over the sambar. Garnish & Serve: Garnish with chopped coriander leaves and serve hot with rice or idli.",Indian,Veg,Medium,images/img14.jpg
Idli,"Parboiled rice, urad dal (split black gram), fenugreek seeds, salt, water","Soak: Soak parboiled rice and urad dal with fenugreek seeds separately for 4-6 hours. Grind: Grind urad dal and fenugreek seeds into a smooth batter, then grind rice coarsely. Mix both batters together. Ferment: Add salt and ferment the batter overnight or 8-12 hours until it doubles in size. Prepare Idli Molds: Grease idli molds lightly. Steam: Pour batter into molds and steam in an idli steamer or pressure cooker (without whistle) for 10-15 minutes. Serve: Remove idlis from molds and serve hot with chutney and sambar.",Indian,Veg,Easy,images/img15.jpg
Dhokla,"Gram flour (besan), yogurt, water, lemon juice, sugar, ginger green chili paste, eno fruit salt (or baking soda), mustard seeds, curry leaves, green chilies, oil, salt, coriander leaves","Prepare Batter: In a bowl, mix gram flour, yogurt, water, lemon juice, sugar, ginger-green chili paste, and salt into a smooth batter. Add Eno: Just before steaming, add eno fruit salt to the batter and gently mix. The batter will become frothy. Steam: Pour batter into a greased steaming dish and steam for 15-20 minutes until a toothpick inserted comes out clean. Prepare Tempering: Heat oil in a small pan. Add mustard seeds, curry leaves, and slit green chilies. Let mustard seeds splutter. Add Tempering: Pour the tempering over the steamed dhokla. Garnish & Serve: Garnish with chopped coriander leaves. Cut into pieces and serve with green chutney or tamarind chutney.",Indian,Veg,Easy,images/img16.jpg
Kadai Paneer,"Paneer, onions, tomatoes, bell peppers (capsicum), ginger paste, garlic paste, green chilies, coriander seeds, cumin seeds, garam masala, turmeric powder, red chili powder, oil, salt, fresh coriander leaves","Roast and Grind Spices: Dry roast coriander seeds and cumin seeds until fragrant. Grind coarsely and set aside. Prepare Masala: Heat oil in a pan. Add chopped onions and sauté until golden brown. Add Ginger-Garlic and Chilies: Add ginger-garlic paste and green chilies, sauté until raw smell disappears. Add Tomatoes and Spices: Add chopped tomatoes, turmeric powder, red chili powder, salt, and the freshly ground coriander-cumin powder. Cook until oil separates. Add Bell Peppers: Add sliced bell peppers and cook for 3-4 minutes, keeping them crunchy. Add Paneer: Add paneer cubes and garam masala. Mix gently and cook for 5 minutes. Garnish & Serve: Garnish with fresh coriander leaves. Serve hot with roti or naan.",Indian,Veg,Medium,images/img17.jpg
Dal Makhani,"Whole black urad dal, rajma (kidney beans), butter, cream, ginger, garlic, onions, tomatoes, garam masala, cumin seeds, red chili powder, turmeric powder, salt, oil, coriander leaves","Soak Dal and Rajma: Soak whole black urad dal and rajma overnight. Cook Dal and Rajma: Pressure cook soaked dals with water until soft. Prepare Masala: Heat oil and butter in a pan. Add cumin seeds and let them splutter. Add finely chopped onions and sauté until golden. Add Ginger-Garlic: Add ginger and garlic paste, sauté until fragrant. Add Tomatoes and Spices: Add pureed tomatoes, turmeric powder, red chili powder, salt, and garam masala. Cook until oil separates. Add Cooked Dal: Add cooked dal and rajma along with some cooking water. Simmer on low heat for 30-40 minutes, stirring occasionally. Finish with Butter and Cream: Add butter and cream, mix well, and cook for another 5 minutes. Garnish & Serve: Garnish with fresh coriander leaves. Serve hot with naan or rice.",Indian,Veg,Easy,images/img18.jpg
Veg Fried Rice,"Cooked rice, mixed vegetables (carrots, peas, bell peppers, beans), garlic, ginger, soy sauce, spring onions, oil, salt, pepper","Prepare Vegetables: Heat oil in a wok or pan. Add minced garlic and ginger, sauté until fragrant. Cook Vegetables: Add chopped mixed vegetables and stir-fry until tender-crisp. Add Rice: Add cooked rice to the vegetables. Mix well and break any lumps. Season: Add soy sauce, salt, and pepper. Stir-fry for 2-3 minutes on high heat. Garnish: Add chopped spring onions and mix well. Serve: Serve hot as a main dish or side.",Chinese,Veg,Easy,images/img19.jpg
Hakka Noodles,"Noodles, mixed vegetables (carrots, cabbage, bell peppers, spring onions), garlic, soy sauce, chili sauce, vinegar, oil, salt, pepper","Cook Noodles: Boil noodles according to package instructions. Drain and rinse with cold water to prevent sticking. Prepare Vegetables: Heat oil in a wok or pan. Add minced garlic and sauté until fragrant. Stir-Fry Vegetables: Add chopped mixed vegetables and stir-fry on high heat until crisp-tender. Add Noodles: Add cooked noodles to the pan and toss well. Add Sauces and Seasoning: Add soy sauce, chili sauce, vinegar, salt, and pepper. Mix thoroughly. Garnish: Add chopped spring onions and toss again. Serve: Serve hot.",Chinese,Veg,Easy,images/img20.jpg
Chicken Manchurian,"Chicken (boneless, cut into cubes), cornflour, all-purpose flour, garlic, ginger, soy sauce, chili sauce, green chilies, spring onions, vinegar, oil, salt, sugar, water","Prepare Chicken: Marinate chicken cubes with salt, pepper, and a mix of cornflour and all-purpose flour. Set aside. Fry Chicken: Heat oil in a pan and deep fry the chicken pieces until golden and crispy. Drain on paper towels. Prepare Sauce: In a separate pan, heat oil. Add finely chopped garlic, ginger, green chilies, and spring onions. Sauté until fragrant. Add Sauces: Add soy sauce, chili sauce, vinegar, sugar, and a little water. Bring to a simmer. Combine: Add fried chicken pieces to the sauce and toss well to coat. Cook: Cook for 2-3 minutes until the sauce thickens. Serve: Garnish with chopped spring onions and serve hot with fried rice or noodles",Chinese,Non-Veg,Medium,images/img21.jpg
Gobi Manchurian,"Cauliflower florets, cornflour, all-purpose flour, garlic, ginger, soy sauce, chili sauce, green chilies, spring onions, vinegar, oil, salt, sugar, water","Prepare Cauliflower: Mix cauliflower florets with salt, cornflour, and all-purpose flour to coat evenly. Fry Cauliflower: Heat oil and deep fry the florets until crispy and golden. Drain on paper towels. Prepare Sauce: Heat oil in a pan. Add chopped garlic, ginger, green chilies, and spring onions. Sauté until fragrant. Add Sauces: Add soy sauce, chili sauce, vinegar, sugar, and a little water. Bring to a simmer. Combine: Add fried cauliflower to the sauce and toss well to coat. Cook: Cook for 2-3 minutes until sauce thickens. Serve: Garnish with chopped spring onions and serve hot as a snack or appetizer.",Chinese,Veg,Easy,images/img22.jpg
Spring Rolls,"Spring roll wrappers, mixed vegetables (cabbage, carrots, bell peppers, bean sprouts), garlic, ginger, soy sauce, chili sauce, oil, salt, pepper, cornstarch (for sealing)","Prepare Filling: Heat oil in a pan. Add minced garlic and ginger, sauté until fragrant. Add finely chopped mixed vegetables and stir-fry until tender but still crisp. Season with soy sauce, salt, and pepper. Let cool. Assemble Rolls: Place a spring roll wrapper on a flat surface. Put a spoonful of filling near one corner. Fold sides and roll tightly, sealing the edge with cornstarch paste. Heat Oil: Heat oil in a deep frying pan for deep frying. Fry Rolls: Fry the spring rolls in hot oil until golden brown and crispy. Drain on paper towels. Serve: Serve hot with chili sauce or sweet and sour sauce.",Chinese,Veg,Easy,images/img23.jpg
Veg Momos,"All-purpose flour, water, mixed vegetables (cabbage, carrots, onions, mushrooms), garlic, ginger, soy sauce, salt, oil, black pepper","Prepare Dough: Mix all-purpose flour with water and a pinch of salt to form a smooth, elastic dough. Cover and set aside. Prepare Filling: Finely chop or grate mixed vegetables. Heat oil in a pan, add minced garlic and ginger, sauté briefly. Add vegetables, soy sauce, salt, and pepper. Cook until vegetables are tender. Let cool. Shape Momos: Roll dough into small circles. Place a spoonful of filling in the center. Fold and seal the edges to form momos. Steam Momos: Steam momos in a steamer for 10-15 minutes until cooked. Serve: Serve hot with spicy chili sauce or tomato chutney.",Chinese,Veg,Easy,images/img24.jpg
Chicken Momos,"All-purpose flour, water, ground chicken, onions, garlic, ginger, soy sauce, salt, pepper, oil, spring onions","Prepare Dough: Mix all-purpose flour with water and a pinch of salt to make a smooth dough. Cover and rest for 30 minutes. Prepare Filling: In a bowl, combine ground chicken, finely chopped onions, minced garlic, grated ginger, soy sauce, salt, pepper, and chopped spring onions. Mix well. Shape Momos: Roll dough into small circles. Place a spoonful of chicken filling in the center. Fold and seal the edges tightly to form momos. Steam Momos: Steam momos in a steamer for 12-15 minutes until cooked through. Serve: Serve hot with spicy chili sauce or tomato chutney.",Chinese,Non-Veg,Medium,images/img25.jpg
Pasta Arrabiata,"Pasta (penne or your choice), olive oil, garlic, red chili flakes, tomatoes (fresh or canned), salt, black pepper, fresh parsley, basil (optional), grated Parmesan cheese (optional)","Cook Pasta: Boil pasta in salted water until al dente. Drain and set aside. Prepare Sauce: Heat olive oil in a pan. Add minced garlic and red chili flakes; sauté until fragrant. Add Tomatoes: Add chopped tomatoes, salt, and pepper. Cook until tomatoes break down and form a sauce. Combine: Add cooked pasta to the sauce. Toss well to coat. Garnish & Serve: Garnish with chopped fresh parsley and basil. Sprinkle Parmesan cheese if desired. Serve hot.",Italian,Veg,Medium,images/img26.jpg
Pasta Alfredo,"Fettuccine pasta, butter, heavy cream, garlic, grated Parmesan cheese, salt, black pepper, parsley (optional)","Cook Pasta: Boil fettuccine pasta in salted water until al dente. Drain and keep some pasta water aside. Prepare Alfredo Sauce: In a pan, melt butter over medium heat. Add minced garlic and sauté briefly. Add Cream: Pour in heavy cream and bring to a gentle simmer. Add Cheese: Stir in grated Parmesan cheese until melted and smooth. Combine: Add cooked pasta to the sauce. Toss to coat. If sauce is too thick, add reserved pasta water gradually. Season & Garnish: Season with salt and black pepper. Garnish with chopped parsley if desired. Serve: Serve immediately.",Italian,Veg,Easy,images/img27.jpg
Mac and Cheese,"Macaroni pasta, butter, all-purpose flour, milk, cheddar cheese (grated), salt, black pepper, mustard powder (optional), breadcrumbs (optional)","Cook Pasta: Boil macaroni pasta in salted water until al dente. Drain and set aside. Make Roux: In a saucepan, melt butter over medium heat. Add flour and whisk continuously to form a smooth paste (roux). Cook for 1-2 minutes. Add Milk: Gradually whisk in milk, stirring constantly until sauce thickens. Add Cheese: Remove from heat and stir in grated cheddar cheese until melted and smooth. Add mustard powder if using. Combine: Mix cooked pasta into the cheese sauce. Optional Bake: Transfer to a baking dish, top with breadcrumbs, and bake at 350°F (175°C) for 15-20 minutes until golden on top. Serve: Serve hot.",American,Veg,Medium,images/img28.jpg
Spaghetti Bolognese,"Spaghetti, ground beef, onions, garlic, carrots, celery, tomatoes (canned or fresh), tomato paste, olive oil, red wine (optional), salt, pepper, Italian herbs (oregano, basil), Parmesan cheese (optional)","Cook Spaghetti: Boil spaghetti in salted water until al dente. Drain and set aside. Prepare Sauce Base: Heat olive oil in a pan. Add finely chopped onions, carrots, and celery. Sauté until softened. Add Garlic and Beef: Add minced garlic and ground beef. Cook until beef is browned. Add Tomatoes and Herbs: Add chopped tomatoes, tomato paste, salt, pepper, and Italian herbs. Pour in red wine if using. Simmer for 30-45 minutes until thickened. Combine: Serve sauce over spaghetti. Garnish: Top with grated Parmesan cheese if desired.",Italian,Veg,Medium,images/img29.jpg
Pizza Margherita,"Pizza dough, tomato sauce, fresh mozzarella cheese, fresh basil leaves, olive oil, salt","Prepare Dough: Roll out pizza dough on a floured surface to desired thickness. Add Sauce: Spread a thin layer of tomato sauce evenly over the dough. Add Cheese: Tear fresh mozzarella into pieces and scatter over the sauce. Bake: Bake in a preheated oven at 475°F (245°C) for 10-15 minutes until crust is golden and cheese is bubbly. Add Basil and Oil: Remove from oven, top with fresh basil leaves, and drizzle olive oil. Serve: Slice and serve hot.",Italian,Veg,Easy,images/img30.jpg
Grilled Sandwich,"Bread slices, butter, cheese slices, tomatoes, cucumber, onions, lettuce, salt, pepper, mayonnaise or mustard (optional)","Prepare Filling: Layer cheese, sliced tomatoes, cucumber, onions, and lettuce on a bread slice. Season with salt and pepper. Spread mayonnaise or mustard if desired. Assemble Sandwich: Cover with another bread slice. Spread butter on the outer sides of the sandwich. Grill: Heat a grill pan or sandwich maker. Grill the sandwich until golden brown and cheese melts, about 3-5 minutes per side. Serve: Cut diagonally and serve hot.",American,Veg,Easy,images/img31.jpg
Cheese Burger,"Burger buns, ground beef patties, cheese slices, lettuce, tomato slices, onions, pickles, ketchup, mustard, mayonnaise, salt, pepper, oil","Prepare Patties: Season ground beef with salt and pepper. Shape into patties. Cook Patties: Heat oil in a pan or grill. Cook patties until desired doneness. Add Cheese: Place cheese slice on patties during last minute of cooking to melt. Toast Buns: Lightly toast burger buns. Assemble Burger: Spread ketchup, mustard, and mayonnaise on buns. Add lettuce, tomato, onion slices, pickles, and cooked patties with melted cheese. Serve: Serve hot with fries or salad.",American,Veg,Easy,images/img32.jpg
Veggie Wrap,"Tortilla wraps, mixed vegetables (lettuce, tomatoes, cucumbers, bell peppers), hummus or cream cheese, avocado (optional), salt, pepper, olive oil, lemon juice","Prepare Vegetables: Chop all vegetables into thin strips or bite-sized pieces. Make Dressing: Toss vegetables with olive oil, lemon juice, salt, and pepper. Spread Base: Spread hummus or cream cheese evenly over the tortilla wrap. Add Vegetables: Place the dressed vegetables and avocado slices on the tortilla. Wrap: Roll the tortilla tightly, folding the sides in as you go. Serve: Cut in half and serve immediately or wrap in foil for later.",Middle Eastern,Veg,Medium,images/img33.jpg
Chicken Shawarma,"Chicken thighs (boneless), yogurt, garlic, lemon juice, olive oil, ground cumin, ground coriander, paprika, turmeric, cinnamon, cayenne pepper, salt, pepper, pita bread, tahini sauce, cucumber, tomato, onions, lettuce","Marinate Chicken: In a bowl, mix yogurt, minced garlic, lemon juice, olive oil, cumin, coriander, paprika, turmeric, cinnamon, cayenne pepper, salt, and pepper. Add chicken thighs and marinate for at least 2 hours or overnight. Cook Chicken: Grill or pan-fry the marinated chicken until fully cooked and slightly charred. Prepare Wrap: Slice cooked chicken thinly. Warm pita bread. Assemble Shawarma: Place chicken slices in pita bread. Add sliced cucumber, tomato, onions, and lettuce. Drizzle with tahini sauce. Serve: Wrap and serve hot.",Middle Eastern,Non-Veg,Easy,images/img34.jpg
French Fries,"Potatoes, oil (for frying), salt",Prepare Potatoes: Peel and cut potatoes into thin sticks. Soak: Soak potato sticks in cold water for 30 minutes to remove excess starch. Drain and pat dry. Heat Oil: Heat oil in a deep fryer or deep pan to 350°F (175°C). Fry Potatoes: Fry potatoes in batches until golden and crispy. Remove and drain on paper towels. Season: Sprinkle salt immediately while hot. Serve: Serve hot with ketchup or dip of choice.,American,Veg,Easy,images/img35.jpg
Garlic Bread,"Baguette or Italian bread, butter, garlic, parsley, salt","Prepare Garlic Butter: Soften butter and mix with minced garlic, chopped parsley, and a pinch of salt. Slice Bread: Cut the bread into slices, but not all the way through (leave the base intact). Apply Butter: Spread the garlic butter generously between the slices and on top of the bread. Bake: Wrap in foil and bake in a preheated oven at 350°F (175°C) for 15 minutes. Open the foil and bake for an additional 5 minutes for a crispy top. Serve: Serve warm as a side dish.",Italian,Veg,Easy,images/img36.jpg
Omelette,"Eggs, salt, pepper, butter or oil, onions (optional), tomatoes (optional), bell peppers (optional), cheese (optional), herbs (optional)","Beat Eggs: Crack eggs into a bowl, add salt and pepper, and whisk well. Prepare Filling (Optional): Chop onions, tomatoes, bell peppers, and herbs if using. Cook Vegetables: Heat butter or oil in a pan. Sauté vegetables until soft. Add Eggs: Pour beaten eggs over the vegetables in the pan. Cook Omelette: Cook on medium heat until eggs begin to set. Add cheese on top if desired. Fold and Serve: Fold omelette in half and cook for another minute. Serve hot.",American,Non-Veg,Easy,images/img37.jpg
Scrambled Eggs,"Eggs, salt, pepper, butter or oil, milk or cream (optional), herbs (optional)","Beat Eggs: Crack eggs into a bowl, add salt, pepper, and a splash of milk or cream if using. Whisk well. Heat Pan: Melt butter or heat oil in a non-stick pan over medium-low heat. Cook Eggs: Pour eggs into the pan. Stir gently and continuously with a spatula to scramble the eggs. Cook to Preference: Cook until eggs are softly set and creamy, or longer if you prefer firmer eggs. Add Herbs and Serve: Stir in chopped herbs if desired and serve hot.",American,Non-Veg,Easy,images/img38.jpg
Pancakes,"All-purpose flour, baking powder, sugar, salt, milk, eggs, melted butter, vanilla extract (optional)","Mix Dry Ingredients: In a bowl, combine flour, baking powder, sugar, and salt. Mix Wet Ingredients: In another bowl, whisk milk, eggs, melted butter, and vanilla extract. Combine: Pour wet ingredients into dry ingredients and mix until just combined (some lumps are okay). Cook Pancakes: Heat a non-stick pan or griddle over medium heat. Pour batter to form pancakes. Cook until bubbles form on the surface, then flip and cook until golden. Serve: Serve hot with syrup, butter, or fruit.",American,Veg,Easy,images/img39.jpg
Waffles,"All-purpose flour, baking powder, sugar, salt, eggs, milk, melted butter, vanilla extract (optional)","Mix Dry Ingredients: In a bowl, combine flour, baking powder, sugar, and salt. Mix Wet Ingredients: In another bowl, whisk eggs, milk, melted butter, and vanilla extract. Combine: Pour wet ingredients into dry ingredients and mix until smooth. Preheat Waffle Iron: Preheat your waffle iron according to manufacturers instructions. Cook Waffles: Pour batter onto the waffle iron and cook until golden and crisp. Serve: Serve hot with syrup, butter, or fruit.",American,Veg,Easy,images/img40.jpg
